Neurones,Essais,Taux,Erreur,Moyenne
40,2100,0.04085, 0.28401403  0.28470294  0.29385009  0.31378631  0.06410657,0.248091988
30,1000,0.04," 0.32078502,0.28785118,0.27532534,0.28778785,0.07083793",0.248517464
200,1000,0.001, 0.46342446  0.23499764  0.15455657  0.19700161  0.21729923,0.253455902
30,1000,0.05," 0.27017266,0.22898663,0.30949999,0.38659587,0.07664515",0.25438006
8,1000,0.05," 0.33453949,0.28692023,0.28598333,0.3027265, 0.08064951",0.258163812
14,10000,0.08, 0.31416193  0.31849054  0.32007886  0.3231137   0.03280865,0.26173073599999996
60,1000,0.001, 0.1392724   0.10747625  0.1763629   0.20240772  0.68746296,0.262596446
25,1000,0.04, 0.32334704  0.31657455  0.31528829  0.27352749  0.08949528,0.26364653
80,1000,0.02, 0.11502046  0.44406135  0.40016844  0.29063852  0.08411751,0.26680125600000004
50,1000,0.05," 0.3227603, 0.30944234,0.28396047,0.31087253,0.11039917",0.267486962
50,1000,0.003," 0.09254866,0.07949693,0.12578102,0.09868852,0.94251592",0.26780621
40,1000,0.05," 0.29386151,0.28548454,0.31386166,0.36250534,0.08384672",0.267911954
10,1000,0.05, 0.29819695  0.31971786  0.32630978  0.32802617  0.07498522,0.269447196
100,1000,0.001, 0.18836178  0.10688471  0.24102414  0.14607587  0.68166402,0.272802104
40,1000,0.05," 0.31333601,0.32959723,0.30339204,0.34463329,0.07517919",0.273227552
10,1000,0.01, 0.1495977   0.12639381  0.12202776  0.15099672  0.82232527,0.274268252
50,1000,0.001, 0.1660691   0.11789228  0.18936454  0.15973262  0.74237537,0.275086782
40,1000,0.05, 0.38746135  0.2989394   0.28603257  0.32527976  0.10048404,0.27963942399999997
20,1000,0.05," 0.35385532,0.33289611,0.34402515,0.32493946,0.04303897",0.27975100199999997
25,1000,0.05, 0.28515724  0.35697871  0.33485464  0.35794911  0.07415624,0.28181918799999994
50,1000,0.001, 0.35747925  0.1324131   0.12229087  0.14948942  0.64827726,0.28198998
30,1000,0.05," 0.29600111,0.35941086,0.29903991,0.3874183, 0.07137837",0.28264971
50,1000,0.001, 0.40566095  0.16191468  0.16728618  0.17457361  0.50700461,0.283288006
10,10000,0.001, 0.13304438  0.10627315  0.11482304  0.13938809  0.9464918 ,0.288004092
40,1000,0.05," 0.41244692,0.29834113,0.32351517,0.33122204,0.08472595",0.290050242
10,1000,0.01, 0.13752795  0.13068698  0.12726759  0.14603454  0.91398567,0.291100546
40,1000,0.05, 0.30265954  0.39143578  0.31454799  0.35623514  0.09266424,0.291508538
30,1000,0.05," 0.37300568,0.31796214,0.32680043,0.38949576,0.06240738",0.293934278
40,1000,0.05," 0.35386357,0.42035358,0.27868116,0.33763487,0.10386638",0.29887991199999997
80,1000,0.008, 0.42697313  0.36127366  0.36926059  0.28231491  0.07186814,0.302338086
80,1000,0.02, 0.61248098  0.3785572   0.24202106  0.22150021  0.06042627,0.302997144
10,1000,0.008, 0.16730892  0.18420739  0.13235966  0.15797837  0.87965811,0.30430249
10,1000,0.01, 0.15709518  0.12362003  0.12860106  0.18339438  0.96175092,0.310892314
10,1000,0.01, 0.13599903  0.21621268  0.20585851  0.14646244  0.85814185,0.312534902
80,1000,0.05, 0.32478957  0.42036623  0.33755037  0.35810538  0.12639145,0.3134406
40,1000,0.05," 0.40277288,0.39684042,0.37463144,0.35081128,0.06413265",0.317837734
50,1000,0.001, 0.1373073   0.38745554  0.18732154  0.14202776  0.74956903,0.320736234
10,8090,0.084321, 0.39183673  0.39294069  0.39631881  0.40257601  0.04758026,0.3262505
50,1000,0.001, 0.13103279  0.09765904  0.25533602  0.3683789   0.77962731,0.326406812
50,1000,0.05," 0.39023902,0.40474354,0.34555995,0.39591167,0.10968521",0.32922787800000003
50,1000,0.05, 0.3894615   0.35684666  0.49477417  0.42998504  0.08697289,0.351608052
13,10000,0.1, 0.42555045  0.43048321  0.43045729  0.43571762  0.04490521,0.35342275600000006
10,10000,0.001, 0.1684954   0.12537231  0.1257737   0.12520301  1.26705307,0.362379498
600,1000,0.001, 0.33866554  0.48760071  0.4041455   0.40608376  0.18666961,0.36463302400000003
40,1000,0.084, 0.41013288  0.42664202  0.44419715  0.43775843  0.12548581,0.36884325799999995
10,1000,0.004," 0.20665419,0.24403022,0.24220843,0.29069896,0.8874145 ",0.37420126
90,1000,0.05415, 0.38759534  0.47637569  0.44993371  0.46611358  0.12433093,0.38086985
30,1000,0.001, 0.3003961   0.2632667   0.23271598  0.36782918  0.74414796,0.381671184
100,1000,0.001, 0.19739384  0.16026354  0.11236915  0.35931674  1.09435553,0.38473976000000004
100,1000,0.001, 0.09495184  0.12943801  0.10481336  0.21204465  1.3850603 ,0.38526163199999997
70,1000,0.045, 0.45355828  0.45314466  0.44872186  0.46972849  0.10987705,0.387006068
10,1000,0.005, 0.21884009  0.16386156  0.1594503   0.20316961  1.19757118,0.388578548
15,1000,0.1, 0.47696635  0.45660228  0.48685821  0.47815348  0.04781839,0.389279742
50,1000,0.001, 0.25577919  0.66961088  0.2039195   0.22831938  0.64493913,0.400513616
90,1000,0.02415, 0.5186661   0.34356626  0.61671888  0.41981493  0.1235185 ,0.404456934
10,1000,0.1, 0.49590548  0.46774674  0.47353073  0.49046163  0.09918942,0.4053668
10,1000,0.1,0.47944564  0.4754609   0.48396724  0.48584714  0.12115745,0.409175674
50,1000,0.001, 0.13452946  0.12579921  0.11232065  0.23509071  1.45894144,0.41333629399999994
150,2000,0.02, 0.8255684   0.34852634  0.16634663  0.66640808  0.09718383,0.420806656
5,1000,0.01, 0.17368453  0.16915417  0.17393243  0.19701384  1.40554571,0.423866136
3,10000,0.05, 0.48827217  0.48585014  0.47875298  0.49414392  0.1744314 ,0.42429012200000005
50,1000,0.001, 0.18440505  0.17741468  0.17586788  0.1915927   1.43502335,0.43286073199999997
90,1000,0.0211, 0.26810457  0.65613009  0.6411151   0.53841909  0.06253528,0.43326082600000004
80,1000,0.0101, 0.50623372  0.53877275  0.56967193  0.48669281  0.07792115,0.43585847200000005
10,300,0.08, 0.52029575  0.5139719   0.54989887  0.56397859  0.08884134,0.44739728999999995
60,1000,0.001, 0.26529075  0.30215612  0.18781939  0.11079634  1.42099685,0.45741189000000004
100,10000,0.0001, 0.11176057  0.16285259  0.90801061  0.12058912  1.07677757,0.47599809200000004
4,1000,0.008, 0.24184024  0.23514776  0.23771645  0.23904891  1.53377606,0.49750588400000006
50,1000,0.001, 0.15221628  0.24376227  0.19761807  0.10994879  1.79461045,0.49963117199999996
10,1000,0.005, 0.28257125  0.14069816  0.17398339  0.15941037  1.7527313 ,0.5018788940000001
70,1000,0.05," 0.60697145,0.52138144,0.72797976,0.57329789,0.10989463",0.507905034
40,1000,0.001, 0.5946898   0.27577526  0.22175707  0.38704911  1.18166732,0.532187712
50,1000,0.001, 0.26947915  0.17871468  0.19352818  0.21610282  1.80742851,0.533050668
100,1000,0.007, 0.3745808   0.4786252   0.8588831   0.91003034  0.08240699,0.540905286
3,1000,0.01, 0.26012994  0.28260307  0.26097154  0.28681462  1.63123482,0.544350798
15,100,0.02, 0.30736373  0.25995625  0.28016544  0.14440094  1.78706055,0.555789382
40,1000,0.001, 0.14133642  0.33948742  0.30444743  0.20052037  2.2346868 ,0.6440956879999999
15,1000,0.001, 0.5126624   0.33721479  0.7285354   0.40574443  1.2596595 ,0.648763304
20,1000,0.001, 0.32422904  0.82923978  0.48164243  0.33150063  1.3233794 ,0.6579982560000001
60,1000,0.001, 0.38315468  0.73024685  0.22438369  0.34179728  1.64569115,0.6650547299999999
100,1000,0.001, 0.19854457  0.23173713  0.16599375  0.15555591  2.7509016 ,0.700546592
10,5000,0.0005, 0.56506776  0.7198638   0.51971233  0.47927938  1.41689693,0.74016404
105,1000,0.02, 0.8770874   0.8748715   1.00543648  0.83940436  0.10435483,0.7402309140000001
35,1000,0.001, 0.2263481   0.17735749  0.23495001  0.22251504  3.09009225,0.790252578
40,1000,0.008, 0.11282548  0.08315418  0.11882922  0.11280703  3.62484361,0.810491904
40,1000,0.005, 0.14027894  0.09834297  0.10542308  0.12846124  3.7112772 ,0.836756686
100,1000,0.002, 0.13354901  0.14018539  0.12775168  0.11339685  3.71091979,0.845160544
90,1000,0.01, 0.92895657  0.93655398  1.59898249  0.76412808  0.05707184,0.8571385919999999
100,1000,0.001, 0.13437506  0.18032603  0.15835829  0.13402179  3.71574077,0.864564388
70,1000,0.008, 0.12740353  0.20816273  0.0767755   0.40659026  3.58491953,0.88077031
4,60,0.1, 0.91756156  0.94827719  0.88869822  0.93227917  0.92110875,0.921584978
100,1000,0.01, 1.30594924  1.2466042   0.83237889  1.39907918  0.08908615,0.974619532
100,1000,0.01, 1.22612389  0.93753365  1.51429769  1.22486272  0.06559849,0.993683288
10,1000,0.001, 0.78842595  0.51798728  1.64035826  0.76080667  1.31073853,1.003663338
10,1000,0.001, 0.84619384  1.43421254  0.3074736   0.96759995  1.47960258,1.0070165020000001
100,1000,0.01, 1.00217936  1.69194243  1.3794588   1.05383008  0.08085405,1.0416529440000002
100,1000,0.02, 0.77826038  1.43252281  1.87776275  1.07105629  0.09659175,1.0512387959999998
100,1000,0.01, 1.22600867  1.09500369  1.40754922  1.44792603  0.13207994,1.0617135100000001
20,10000,0.2, 1.33014671  1.33700391  1.31596951  1.32952702  0.07053856,1.076637142
100,1000,0.01, 1.09222499  1.23526366  1.70436233  1.43640327  0.08952989,1.1115568279999999
100,1000,0.01," 1.41853106,1.45222314,1.43960989,1.2897314, 0.09715354",1.139449806
100,1000,0.01, 1.52780744  1.13792928  1.49374605  1.62966407  0.08717887,1.1752651420000002
10,10000,0.0001, 1.31244891  0.48850195  1.67811818  0.78780932  1.62877175,1.179130022
120,1000,0.01, 1.50038068  1.41337663  1.79154725  1.13579419  0.06486289,1.181192328
100,1000,0.01, 1.52894107  1.38966666  1.60064058  1.51692359  0.07037736,1.221309852
10,100,0.01, 0.3319201   1.72441241  1.07385062  1.63822078  1.45902411,1.245485604
150,1000,0.021, 1.50394118  1.24246884  1.73413824  1.81992319  0.09963404,1.280021098
95,1000,0.021, 0.99415368  1.05599705  0.45147462  0.22752011  3.6929716 ,1.284423412
10,100,0.01, 1.0803045   1.32344193  0.78612417  1.52825365  1.76698639,1.297022128
100,1000,0.01, 1.23161512  2.17875263  1.51413234  1.56320538  0.08284307,1.314109708
15,1000,0.21, 1.59690921  1.56763969  1.57653626  1.5626027   0.27878922,1.316495416
150,1000,0.021, 1.97428707  1.90200099  1.43242118  1.15895826  0.11900749,1.3173349979999998
4,100,0.08, 1.32512451  1.3395852   1.32118774  1.35132274  1.26233439,1.319910916
15,1000,0.001, 1.93524691  0.44949446  1.21765291  1.6451272   1.35444677,1.32039365
8,1000,0.001, 1.59480494  0.60132887  1.27404614  1.36711237  1.87226421,1.341911306
10,1000,0.001, 0.9383139   1.19268771  1.3784028   1.65963707  1.8482875 ,1.403465796
10,1000,0.001, 1.50042002  0.65147816  1.38845633  1.54309786  2.01871647,1.420433768
10,1000,0.001, 0.99321124  1.59350699  1.89333407  1.30960495  1.38997374,1.4359261980000002
12,50,0.02, 1.26300051  1.30042741  1.10549357  1.69995017  1.8612771 ,1.4460297519999998
10,1600,0.001, 0.78559244  1.57558243  1.76745715  1.65335876  1.62337398,1.481072952
10,150,0.2, 1.69086339  1.70335942  1.70288849  1.75190192  0.86790925,1.543384494
10,100,0.01, 1.29106752  2.56911692  1.84898137  0.59917507  1.67926079,1.597520334
50,1000,0.0001, 1.29164449  4.2369421   0.56945551  0.96760557  1.65221916,1.7435733660000001
120,1000,0.02," 2.30147959,1.43092338,2.21263033,2.85674898,0.09465731",1.7792879180000003
10,100,0.01, 2.6492119   1.72012264  2.23050776  1.74291485  0.69867998,1.8082874260000001
5,1000,0.001, 3.49138594  1.00772818  1.71991442  1.50035753  1.38118932,1.8201150780000002
150,1000,0.02," 2.94522239,1.56424942,2.7732394, 1.93838219,0.11399392",1.8670174640000003
50,100,0.02, 2.06327062  2.34528927  2.41011655  2.48563007  0.40034371,1.940930044
150,1000,0.0001, 38.30025248   0.51888805  14.89723304   1.09315676   0.9403603 ,11.149978126
100,10000,0.0001, 29.56096477   0.23690303  30.24517422   0.26960431   0.43335845,12.149200956
150,1000,0.001, 38.32585803   0.13375054  30.20668888   0.16492441   1.19264977,14.004774326
150,1000,0.05," 29.58124884,29.04280465, 4.42123818, 4.38130461, 3.72980016",14.231279288
210,1000,0.004, 38.33382885   2.39352534   2.52888394  29.68051218   0.08487904,14.604325870000002
